CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
LineMandelCalculator;512;1536;1024;100;15
LineMandelCalculator;512;1536;1024;100;15
LineMandelCalculator;512;1536;1024;100;15
RefMandelCalculator;1024;3072;2048;100;473
RefMandelCalculator;1024;3072;2048;100;473
RefMandelCalculator;1024;3072;2048;100;473
BatchMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;1024;3072;2048;100;62
BatchMandelCalculator;512;1536;1024;100;13
LineMandelCalculator;1024;3072;2048;100;61
BatchMandelCalculator;512;1536;1024;100;13
LineMandelCalculator;1024;3072;2048;100;61
RefMandelCalculator;2048;6144;4096;100;1885
RefMandelCalculator;2048;6144;4096;100;1886
RefMandelCalculator;2048;6144;4096;100;1887
BatchMandelCalculator;1024;3072;2048;100;50
LineMandelCalculator;2048;6144;4096;100;244
BatchMandelCalculator;1024;3072;2048;100;50
LineMandelCalculator;2048;6144;4096;100;245
BatchMandelCalculator;1024;3072;2048;100;50
LineMandelCalculator;2048;6144;4096;100;245
RefMandelCalculator;4096;12288;8192;100;7525
RefMandelCalculator;4096;12288;8192;100;7524
RefMandelCalculator;4096;12288;8192;100;7526
BatchMandelCalculator;2048;6144;4096;100;205
LineMandelCalculator;4096;12288;8192;100;978
BatchMandelCalculator;2048;6144;4096;100;208
LineMandelCalculator;4096;12288;8192;100;994
BatchMandelCalculator;2048;6144;4096;100;204
LineMandelCalculator;4096;12288;8192;100;975
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
BatchMandelCalculator;4096;12288;8192;100;809
LineMandelCalculator;512;1536;1024;1000;113
BatchMandelCalculator;4096;12288;8192;100;816
LineMandelCalculator;512;1536;1024;1000;114
BatchMandelCalculator;4096;12288;8192;100;815
LineMandelCalculator;512;1536;1024;1000;114
RefMandelCalculator;1024;3072;2048;1000;4191
RefMandelCalculator;1024;3072;2048;1000;4168
RefMandelCalculator;1024;3072;2048;1000;4165
BatchMandelCalculator;512;1536;1024;1000;86
LineMandelCalculator;1024;3072;2048;1000;458
BatchMandelCalculator;512;1536;1024;1000;86
LineMandelCalculator;1024;3072;2048;1000;458
BatchMandelCalculator;512;1536;1024;1000;86
LineMandelCalculator;1024;3072;2048;1000;457
RefMandelCalculator;2048;6144;4096;1000;16661
RefMandelCalculator;2048;6144;4096;1000;16669
RefMandelCalculator;2048;6144;4096;1000;16666
BatchMandelCalculator;1024;3072;2048;1000;332
LineMandelCalculator;2048;6144;4096;1000;1821
BatchMandelCalculator;1024;3072;2048;1000;332
LineMandelCalculator;2048;6144;4096;1000;1822
BatchMandelCalculator;1024;3072;2048;1000;332
LineMandelCalculator;2048;6144;4096;1000;1822
RefMandelCalculator;4096;12288;8192;1000;66789
RefMandelCalculator;4096;12288;8192;1000;66664
RefMandelCalculator;4096;12288;8192;1000;66658
BatchMandelCalculator;2048;6144;4096;1000;1356
LineMandelCalculator;4096;12288;8192;1000;7214
BatchMandelCalculator;2048;6144;4096;1000;1354
LineMandelCalculator;4096;12288;8192;1000;7211
BatchMandelCalculator;2048;6144;4096;1000;1354
LineMandelCalculator;4096;12288;8192;1000;7245
BatchMandelCalculator;4096;12288;8192;1000;5456
BatchMandelCalculator;4096;12288;8192;1000;5435
BatchMandelCalculator;4096;12288;8192;1000;5456
