BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;60;7680;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;103;13016;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;137;27344;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;176;53520;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;305;92648;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;545;67036;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;1061;61952;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;30;7680;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;52;13016;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;69;27344;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;89;53520;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;155;92648;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;275;67036;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;533;61952;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;15;7680;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;26;13016;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;35;27344;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;46;53520;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;80;92648;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;137;67036;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;267;61952;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;8;7680;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;13;13016;
OpenMP Loop;/home/xzbori20/avs/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;18;27344;
